term,coef_log,se,ci95_low,ci95_high,approx_pct
Intercept,10.7918,0.0173,10.7579,10.8257,4861971.1
C(education_group)[T.Less than HS],-0.2508,0.0073,-0.2651,-0.2366,-22.19
C(education_group)[T.Some college],0.1784,0.0051,0.1684,0.1885,19.53
C(education_group)[T.Bachelor's],0.5462,0.0055,0.5355,0.5569,72.66
C(education_group)[T.Graduate],0.7594,0.0062,0.7473,0.7715,113.7
C(age_group)[T.25-34],-0.2555,0.0059,-0.267,-0.2439,-22.55
C(age_group)[T.45-54],0.0884,0.0041,0.0805,0.0964,9.24
C(age_group)[T.55-64],0.0559,0.004,0.048,0.0638,5.75
C(year_fe)[T.2010],-0.0917,0.0188,-0.1285,-0.0549,-8.76
C(year_fe)[T.2011],-0.1149,0.0181,-0.1503,-0.0795,-10.85
C(year_fe)[T.2012],-0.1176,0.0183,-0.1534,-0.0818,-11.09
C(year_fe)[T.2013],-0.1186,0.0184,-0.1547,-0.0825,-11.18
C(year_fe)[T.2014],-0.1205,0.0186,-0.1569,-0.0841,-11.35
C(year_fe)[T.2015],-0.1009,0.0185,-0.137,-0.0647,-9.59
C(year_fe)[T.2016],-0.0903,0.0181,-0.1258,-0.0547,-8.63
C(year_fe)[T.2017],-0.0882,0.0188,-0.125,-0.0513,-8.44
C(year_fe)[T.2018],-0.0796,0.0184,-0.1158,-0.0435,-7.65
C(year_fe)[T.2019],-0.061,0.0181,-0.0965,-0.0254,-5.91
C(year_fe)[T.2020],-0.0504,0.0175,-0.0847,-0.016,-4.91
C(year_fe)[T.2021],-0.1047,0.0178,-0.1395,-0.0699,-9.94
C(year_fe)[T.2022],-0.0933,0.0182,-0.129,-0.0576,-8.91
C(year_fe)[T.2023],-0.0871,0.0185,-0.1233,-0.0508,-8.34
C(year_fe)[T.2024],-0.0647,0.0187,-0.1013,-0.0281,-6.26
C(country)[T.Africa (region)],-0.1013,0.0106,-0.122,-0.0806,-9.63
C(country)[T.Canada],0.1742,0.0092,0.1562,0.1921,19.03
C(country)[T.Central America (region)],-0.1159,0.0069,-0.1294,-0.1024,-10.94
C(country)[T.China],0.1035,0.0166,0.0709,0.1361,10.91
C(country)[T.Cuba],-0.1372,0.018,-0.1725,-0.1019,-12.82
C(country)[T.Former USSR / Russia],0.1187,0.0161,0.0871,0.1503,12.61
C(country)[T.Germany],0.0221,0.0063,0.0097,0.0345,2.23
C(country)[T.India],0.2898,0.0099,0.2705,0.3091,33.62
C(country)[T.Italy],0.0966,0.0178,0.0618,0.1314,10.14
C(country)[T.Japan],0.0349,0.0083,0.0186,0.0513,3.55
C(country)[T.Korea],0.0353,0.0195,-0.003,0.0736,3.6
C(country)[T.Mexico],-0.1501,0.0064,-0.1627,-0.1375,-13.94
C(country)[T.Philippines],-0.002,0.0083,-0.0183,0.0142,-0.2
C(country)[T.Poland],0.0167,0.0073,0.0024,0.0311,1.68
C(country)[T.South America (region)],-0.141,0.0089,-0.1585,-0.1235,-13.15
C(country)[T.United Kingdom],0.2014,0.0111,0.1797,0.2231,22.31
C(country)[T.Vietnam],0.0051,0.0156,-0.0255,0.0358,0.51
C(country)[T.West Indies (region)],-0.1205,0.0054,-0.131,-0.1101,-11.36
